Year,State,County,County ANSI,Value
2016,INDIANA,WARREN,171,212.3
2015,INDIANA,BARTHOLOMEW,5,161
2015,INDIANA,BOONE,11,136.5
2015,INDIANA,CLINTON,23,146.6
2015,INDIANA,DECATUR,31,177.9
2015,INDIANA,GRANT,53,135.1
2015,INDIANA,HAMILTON,57,145.4
2015,INDIANA,HANCOCK,59,149.9
2015,INDIANA,HENDRICKS,63,149.7
2015,INDIANA,HOWARD,67,160.4
2015,INDIANA,JOHNSON,81,152
2015,INDIANA,MADISON,95,136.3
2015,INDIANA,MARION,97,167.8
2015,INDIANA,MORGAN,109,155.4
2015,INDIANA,RUSH,139,169.7
2015,INDIANA,SHELBY,145,157.2
2015,INDIANA,TIPTON,159,173.4
2015,INDIANA,BLACKFORD,9,117.5
2015,INDIANA,DELAWARE,35,130.1
2015,INDIANA,FAYETTE,41,181.5
2015,INDIANA,HENRY,65,158
2015,INDIANA,JAY,75,108.3
2015,INDIANA,RANDOLPH,135,144.8
2015,INDIANA,UNION,161,174
2015,INDIANA,WAYNE,177,161.2
2015,INDIANA,CARROLL,15,157.2
2015,INDIANA,CASS,17,129.4
2015,INDIANA,ELKHART,39,154.7
2015,INDIANA,FULTON,49,142.1
2015,INDIANA,KOSCIUSKO,85,170.9
2015,INDIANA,MARSHALL,99,143.7
2015,INDIANA,MIAMI,103,138.6
2015,INDIANA,ST. JOSEPH,141,151.5
2015,INDIANA,WABASH,169,135.3
2015,INDIANA,ADAMS,1,103.5
2015,INDIANA,ALLEN,3,120.7
2015,INDIANA,HUNTINGTON,69,123.1
2015,INDIANA,LAGRANGE,87,150
2015,INDIANA,NOBLE,113,163.1
2015,INDIANA,OTHER (COMBINED) COUNTIES,,159.6
2015,INDIANA,WELLS,179,112.5
2015,INDIANA,WHITLEY,183,138.8
2015,INDIANA,BENTON,7,169.3
2015,INDIANA,JASPER,73,98.3
2015,INDIANA,LA PORTE,91,151.3
2015,INDIANA,LAKE,89,142
2015,INDIANA,NEWTON,111,110.9
2015,INDIANA,PORTER,127,151.5
2015,INDIANA,PULASKI,131,109.7
2015,INDIANA,STARKE,149,97.6
2015,INDIANA,WHITE,181,128
2015,INDIANA,FLOYD,43,158.1
2015,INDIANA,HARRISON,61,173.1
2015,INDIANA,JACKSON,71,151.6
2015,INDIANA,LAWRENCE,93,178.4
2015,INDIANA,MONROE,105,158.8
2015,INDIANA,ORANGE,117,190.5
2015,INDIANA,OTHER (COMBINED) COUNTIES,,153.1
2015,INDIANA,WASHINGTON,175,156
2015,INDIANA,CLARK,19,162.1
2015,INDIANA,DEARBORN,29,151.9
2015,INDIANA,FRANKLIN,47,182.4
2015,INDIANA,JEFFERSON,77,151.8
2015,INDIANA,JENNINGS,79,160.3
2015,INDIANA,OHIO,115,162.5
2015,INDIANA,RIPLEY,137,158.7
2015,INDIANA,SCOTT,143,167.8
2015,INDIANA,SWITZERLAND,155,158.2
2015,INDIANA,DAVIESS,27,174.4
2015,INDIANA,DUBOIS,37,165.8
2015,INDIANA,GIBSON,51,177.1
2015,INDIANA,KNOX,83,164.5
2015,INDIANA,MARTIN,101,149.4
2015,INDIANA,OTHER (COMBINED) COUNTIES,,162.8
2015,INDIANA,POSEY,129,190.3
2015,INDIANA,SPENCER,147,163.7
2015,INDIANA,SULLIVAN,153,163
2015,INDIANA,VANDERBURGH,163,166.4
2015,INDIANA,WARRICK,173,151.9
2015,INDIANA,CLAY,21,165.5
2015,INDIANA,FOUNTAIN,45,169.4
2015,INDIANA,MONTGOMERY,107,176.5
2015,INDIANA,OWEN,119,164.1
2015,INDIANA,PARKE,121,160.8
2015,INDIANA,PUTNAM,133,149.6
2015,INDIANA,TIPPECANOE,157,147.9
2015,INDIANA,VERMILLION,165,156.3
2015,INDIANA,VIGO,167,164
2015,INDIANA,WARREN,171,178.7
2014,INDIANA,BARTHOLOMEW,5,200.3
2014,INDIANA,BOONE,11,200.6
2014,INDIANA,CLINTON,23,214.1
2014,INDIANA,DECATUR,31,205.8
2014,INDIANA,GRANT,53,185
2014,INDIANA,HAMILTON,57,197.3
2014,INDIANA,HANCOCK,59,188.6
2014,INDIANA,HENDRICKS,63,198.5
2014,INDIANA,HOWARD,67,200.6
2014,INDIANA,JOHNSON,81,186.9
2014,INDIANA,MADISON,95,196.4
2014,INDIANA,MARION,97,178.5
2014,INDIANA,MORGAN,109,197
2014,INDIANA,RUSH,139,197.3
2014,INDIANA,SHELBY,145,187.9
2014,INDIANA,TIPTON,159,214.9
2014,INDIANA,BLACKFORD,9,157.1
2014,INDIANA,DELAWARE,35,174
2014,INDIANA,FAYETTE,41,187.4
2014,INDIANA,HENRY,65,192.9
2014,INDIANA,JAY,75,169.1
2014,INDIANA,RANDOLPH,135,179.6
2014,INDIANA,UNION,161,200
2014,INDIANA,WAYNE,177,185.2
2014,INDIANA,CARROLL,15,205.3
2014,INDIANA,CASS,17,195.9
2014,INDIANA,ELKHART,39,182
2014,INDIANA,FULTON,49,177.9
2014,INDIANA,KOSCIUSKO,85,173.5
2014,INDIANA,MARSHALL,99,183.3
2014,INDIANA,MIAMI,103,176.5
2014,INDIANA,ST. JOSEPH,141,160.8
2014,INDIANA,WABASH,169,181
2014,INDIANA,ADAMS,1,183.3
2014,INDIANA,ALLEN,3,185.8
2014,INDIANA,DE KALB,33,164.7
2014,INDIANA,HUNTINGTON,69,185.4
2014,INDIANA,LAGRANGE,87,151.2
2014,INDIANA,NOBLE,113,168.8
2014,INDIANA,STEUBEN,151,160.5
2014,INDIANA,WELLS,179,189.9
2014,INDIANA,WHITLEY,183,183.1
2014,INDIANA,BENTON,7,202.4
2014,INDIANA,JASPER,73,174.2
2014,INDIANA,LA PORTE,91,167.9
2014,INDIANA,LAKE,89,167.4
2014,INDIANA,NEWTON,111,185.1
2014,INDIANA,PORTER,127,177.1
2014,INDIANA,PULASKI,131,155.7
2014,INDIANA,STARKE,149,156.3
2014,INDIANA,WHITE,181,194.2
2014,INDIANA,FLOYD,43,152.1
2014,INDIANA,HARRISON,61,178
2014,INDIANA,JACKSON,71,171.5
2014,INDIANA,LAWRENCE,93,190.4
2014,INDIANA,MONROE,105,180.6
2014,INDIANA,ORANGE,117,196.9
2014,INDIANA,OTHER (COMBINED) COUNTIES,,172.5
2014,INDIANA,PERRY,123,172.5
2014,INDIANA,WASHINGTON,175,180
2014,INDIANA,CLARK,19,173.3
2014,INDIANA,DEARBORN,29,165.9
2014,INDIANA,FRANKLIN,47,194.1
2014,INDIANA,JEFFERSON,77,188
2014,INDIANA,JENNINGS,79,186.6
2014,INDIANA,OHIO,115,182.8
2014,INDIANA,RIPLEY,137,178.3
2014,INDIANA,SCOTT,143,190.7
2014,INDIANA,SWITZERLAND,155,164.1
2014,INDIANA,DAVIESS,27,210.2
2014,INDIANA,DUBOIS,37,190.4
2014,INDIANA,GIBSON,51,195.3
2014,INDIANA,GREENE,55,186
2014,INDIANA,KNOX,83,194.2
2014,INDIANA,MARTIN,101,188.5
2014,INDIANA,PIKE,125,170.7
2014,INDIANA,POSEY,129,197.3
2014,INDIANA,SPENCER,147,174
2014,INDIANA,SULLIVAN,153,196
2014,INDIANA,VANDERBURGH,163,188
2014,INDIANA,WARRICK,173,175.4
2014,INDIANA,CLAY,21,200.3
2014,INDIANA,FOUNTAIN,45,204.8
2014,INDIANA,MONTGOMERY,107,205.3
2014,INDIANA,OTHER (COMBINED) COUNTIES,,190.7
